id,fileName,article,summary
1,3a248cb770b4d6fe080f7f95a5d595895d2be08d,"If you listen to Twitter , Kendall and Kylie Jenner have become the top purveyors of cultural appropriation - and people are n't having it .
The accusation has been levied at the pair of sisters yet again after their their Kendall + Kylie clothing brand released an image promoting a $ 145 plaid shirt .
The photo , which has since been removed from the account , features a model with hoop earrings and her hair tied back modeling the baggy plaid shirt over a lacy bustier bra .
Scroll down for video
The part of the image causing offense is apparently the fact the shirt is only done up at the top two buttons - a style that critics claim is specific to Hispanic culture .
Immediately the image was hit with multiple comments alleging cultural appropriation , comparing it to the style of ` cholas ' or ` chongas ' .
` Now they 're trying to be cholas do they ever stop cultural appropriating ? ' wrote one angry critic .
Multiple others labelled the sisters ` culture vultures ' and questioned how they had n't ` learned ' from their previous cultural appropriation controversies .
The image has since been taken down , though neither Kylie nor Kendall have commented on the backlash .
It 's just the latest in a long line of social media frenzies over the sisters and their styles . Earlier in the summer they were hit with the accusation when they released a line of T-shirts bearing the images of several artists .
Voletta Wallace , the mother of Christopher Wallace , a.k.a. Notorious B.I.G. , was one of those who lashed out , calling the sisters ` disrespectful ' and ` exploitation at its worst ! '
Kendall and Kylie later released an apology and stopped the sale of the T-shirts , vowing to ` learn from these mistakes . '
Just last week , Kendall came under fire for cultural appropriation over her choice of emoji , of all things .

The 21-year-old supermodel was hit with a barrage of anger after her celebration of a recent magazine cover featuring her and her sisters and mother rubbed users the wrong way .
The reason for the stink ? A tanned fist emoji that Kendall tacked onto the end of her Tweet , reading : ` Sister power ... girl power . '
She wrote the words and the emoji alongside the cover of The Hollywood Reporter , which features her with her sister Kylie Jenner , half-sisters Kim , Khloe and Kourtney Kardashian and their mother Kris Jenner all wearing neutral-toned ensembles .
` Oh nah , why Kendall put her emoji as a darker skin tone ? ' wrote one user in response to the tweet .
Another raged : ` Y' all are not black . Next time use a white emoji . '
One snarky user shot back at the model by rewriting her tweet as ` cultural appropriation power . '
However , plenty of other users staged their own backlash against the backlash , with one writing : ` People are ACTUALLY mad about the COLOR of the emoji Kendall Jenner used . Surely there 's more important things to be angry about . '
Kendall has yet to respond to the remarks , but it comes just as her sister Kim revealed how hard Kendall was hit by the widespread criticism over her controversial Pepsi commercial when it debuted in April .
Kendall 's reaction to the advertisement - which came under fire for trivializing the Black Lives Matter movement - was revealed in the same cover story in The Hollywood Reporter .
The supermodel 's sister Kim , 36 , revealed while the catwalk queen , 21 , kept her emotions private , she was devastated and ` at home crying ' behind the scenes .
Kim explained in the interview , which celebrated 10 years of Keeping Up With The Kardashians on E! : ` We 're not perfect , but you see these things in the media , like Kendall and her Pepsi ad , where I see her at home crying .
` But in the media she looks another way because she 's not addressing it . '
Kendall added : ` I 'm the most private one . If there 's a moment I do n't want anyone to hear , I talk to myself or talk to someone in another room . '
Kim revealed she urged her younger sibling to speak out on the controversy or allow the emotional scenes to feature in the family 's reality show .
She added : ` I 'm just like , `` This is wrong . You need to speak up '' . She -LSB- Kendall -RSB- was like , `` I do n't ever want to show that footage of me crying '' .
` She was trying to not make excuses or be dramatic , but that was what she was going through at the time . '
Referring to the moment , momager Kris Jenner , 61 , concluded : ` There are moments when it 's hard to leave something in because it 's vulnerable and it exposes us to a deeper level of emotion , and sometimes that 's hard to share . '
The drink commercial was pulled within 24 hours of its launch in April , after being met with widespread condemnation .
In the controversial commercial , Kendall was seen in the middle of a photo shoot when she happens to notice a protest march making its way down the street .
In the ad 's climatic scene , a police officer accepts a can of Pepsi from the model , and he takes a sip .
A woman wearing a nose-ring and a traditional Muslim headscarf takes a photograph and everybody cheers .

The advertisement sparked accusations that Pepsi has appropriated a racial protest movement to sell a global drinks brand .
The company pulled the commercial and issued a public apology to poster girl Kendall in the wake of the backlash .
` Pepsi was trying to project a global message of unity , peace and understanding . Clearly we missed the mark , and we apologize , ' Pepsi wrote in a statement at the time .
` We did not intend to make light of any serious issue . We are removing the content and halting any further rollout .
` We also apologize for putting Kendall Jenner in this position . '",The sisters ' Kendall + Kylie clothing brand posted a photo of a model wearing a plaid shirt with just the top two buttons fastened
2,ddebde43f3ea7f7b337458d2343bfa9c588f9314,"A New Jersey family is reeling Tuesday after an 18-year-old teen with no previous health issues died unexpectedly on a playground Sunday night .
Anthony Dorrego , 18 , was playing basketball with friends on Sunday in Gloucester Township , New Jersey when he collapsed , NJ Advance Media reported .
Dorrego 's friends later told his family that they noticed the teen had fallen down onto his hands and knees .
Initially , they believed he was joking , but as moments elapsed , they realized the situation was more serious .
The friends called for help and a bystander from across the street raced onto the court to perform CPR .
Soon after , an ambulance arrived and rushed Dorrego to Kennedy University Hospital in Stratford .
Doctors there pronounced Dorrego dead .
A medical official later revealed to the family that Dorrego was afflicted with a previously undiagnosed heart condition .
Authorities have yet to announce the results of an autopsy .
` This is definitely a tragic thing , ' his uncle , Jimmy Loftis , said .
` He was healthy and he never complained of any issues . '
Dorrego recently graduated high school this past June .
For the past year , he was employed at a UPS shipping and receiving facility .
Dorrego was making preparations to work as a driver for the company .
Loftis said that his nephew was recently given a pay raise and that he had bought a new Nissan Maxima .
` He was really proud , ' he said .
` Anthony was a leader . A lot of his friends looked up to him , ' Loftis said .
` He was very popular , he had that `` cool guy '' personality . '
Loftis said Dorrego spent most of his time with his girlfriend , who he had been dating for four years , his cousins , and his best friends .
An avid basketball fan , he collected Michael Jordan sneakers .
` His passion was basketball . He played basketball almost every day with his friends , ' said Loftis .
Dorrego grew up in Blackwood , New Jersey . He was raised by his mother , Christine Dorrego ; his grandfather , Floyd Dorrego Sr ; and his grandfather 's wife , Kim Dorrego .
` We 're all together right now ... Still in shock , ' Loftis said .
` We 're going to stay together , stay close and get through this together . '",A New Jersey family is reeling Tuesday after an 18-year-old teen with no previous health issues died unexpectedly on a playground Sunday night
3,39bde3d0752da393151a88b5fd6e3e31420da5d3,"The Bank of England is set to launch a crackdown this week on interest-free credit cards amid fears that they could trigger a new consumer debt crisis .
So-called teaser deals have proliferated in recent years .
They allow Britons to move thousands of pounds of debts built up elsewhere on to the cards at zero interest for periods up to 43 months .
But Bank chiefs claim the offers encourage borrowers to take on debt they may not be able to repay if the economy slumps .
That could leave card providers shouldering huge losses -- and exacerbate a downturn .
The Bank 's Financial Policy Committee meets on Wednesday to decide a course of action .
Britons have been borrowing heavily recently , with the total amount lent on credit cards , loans and overdrafts growing at nearly ten per cent a year .",Experts fear interest-free credit cards could trigger a new consumer debt crisis
4,efa330032f8ec3542641cde4987b4586387d8d8c,"Russian President Vladimir Putin is fond of oligarch Aras Agalarov because the real estate magnate ` brings him solutions , not problems , ' according to a veteran Western diplomat in Moscow .
Speaking to DailyMail.com , the diplomat revealed the video bootlegger turned-billionaire seems to be the Russian leader 's right-hand man when it comes to carrying out development projects and serving as the liaison between him and Trump .
On Tuesday , Donald Trump Jr 's bombshell email revealed that Agalarov was alleged to be the insider who wanted to pass ` incriminating ' Kremlin information about Hillary Clinton to his father 's campaign .
Initially outside the Kremlin leader 's charmed circle , Agalarov has delivered for the president in a way few other oligarchs have managed .
Putin urgently needed a new university to be built in Vladivostok , a city on Russia 's economically struggling Pacific coastline , and Agalarov 's Crocus Group met the challenge .
He required a FIFA World Cup stadium in Kaliningrad 6,475 miles west on the Baltic , plus another in Rostov-on-Don close to tinderbox eastern Ukraine .
The 63-year-old from Soviet Azerbaijan , and father of pop star Emin Agalarov , is now completing these tasks on a personal demand from Putin , without tenders .
When asked by a Russian journalist why , Agalarov gave an insight into his relationship with the all-powerful Putin : ` What do you mean why ?
` If you were told to write a specially big , good article within one day , do you say ' I ca n't ? '
' I think you take the job ... if the editor-in-chief called and said you were the only one able to do it , that you were ordered to do it , and you will do it , what do you say ? ' I ca n't ? ' Same with me . I ca n't say this . '
Agalarov - a real estate mogul famous for building high rise towers , shopping malls , and concert and exhibition venues - is a man with a greater value to Putin for doing more than delivering complex construction projects on schedule .
He turned out to be the man with deep inside knowledge about the new American president .
` All the signs are that Donald Trump and Aras Agalarov are close , and enjoy each others ' company , and this was manna to Putin , ' said the diplomat .
` What 's more , if there are skeletons in Trump 's dealings with Russia , Aras is the man who will know where they are .
` And if he knows , you would n't bet on Putin not also knowing . '
Ten days before the now infamous Miss Universe pageant in Moscow in November 2013 , Putin presented Agalarov with the Order of Honour , one of Russia 's highest civilian awards .
He received the prestigious award on the same day as another much wealthier oligarch , Alisher Usmanov , who is more of a Kremlin insider and also a shareholder in London soccer club Arsenal .
He is also a huge player in the energy industry , with mighty sway in central Asia , and is married to the woman who was mentor and coach to Putin 's alleged mistress Alina Kabaeva , the 34-year-old ex-Olympic gold winning rhythmic gymnast .
Another sign that Agalarov - who has a net worth of $ 1.92 billion - is exceptionally close to Putin , is his contract with the president to build the first section of a vital new ring road around Moscow .
The tycoon is also known to have a role in defending Russian prosecutor general Yury Chaika , when his family were accused of corruption by Kremlin foe Alexei Navalny .
Chaika was alleged this week to have wanted to get ` kompromat ' on Hillary Clinton into the hands of the Trump campaign .
The mogul is said to openly voice his support for Putin in public , more so than many oligarchs . Yet , he not a member of the St Petersburg clan or the ` siloviki ' security apparatchik fraternity to whom Putin is often drawn .
Ahead of the 2012 Russian presidential election , he publicly trumpeted his loyalty , using a treacle ladle to declare : ' I absolutely sincerely believe that , for Russia , Vladimir Vladimirovich Putin is the ideal option . '
He also appears to have spotted Trump 's potential to rise in US politics , and its possible significance in better relations between Moscow and Washington , ahead of many people .
It seems the tycoon had urged Putin to attend the Miss Universe Pageant to meet Trump , in 2013 .
A diary clash , as Agalarov has argued , or caution by Putin , meant a tete-a-tete did not go ahead , although Trump pretended it had .
But Putin sent his emissary to Trump in the form of his trusted friend Vladimir Kozhin , 57 , to build bridges with the future president , along with a gift of a traditional Russian lacquered box .
Kozhin - now married to glamorous 27-year-old supermodel , singer and beauty contestant Olesya Boslovyak - is currently Putin 's adviser on military and technical co-operation , but the title belies a close friendship dating back to the Russian leader 's days as deputy mayor of St Petersburg where he cut his political teeth .
He was the first friend Putin brought to Moscow from his native St Petersburg when he was made prime minister by Boris Yeltsin in August 1999 .
Kozhin was rapidly promoted four months later - when Putin became acting head of state - to lead a staff of 60,000 in charge of all presidential properties including the Kremlin .
At the finale of the Miss Universe contest , Kozhin was ensconced in a VIP area with Agalarov senior and his playboy son , singer Emin , 37 , previously married to glamorous Leyla Aliyeva , 32 , daughter of the president of oil-rich Azerbaijan , Ilham Aliyev .
Kozhin was seen ` raising vodka shots to the success ' of the $ 20million Miss Universe , said onlookers .
Since then Emin has forged his own close relations with the Trump clan as the recent email leaks show .
Emin also defended Trump from the lurid ex-MI6 spy Christopher Steele allegations of sexual misconduct , saying the president was up before dawn in Moscow to make a music video the day after the suppose ` golden shower ' performance at the five star Ritz Carlton hotel overlooking Red Square .
He posted on Instagram : ` While the world tries to figure out what Donald Trump was doing in a hotel in Moscow during Miss Universe - I actually know because he was filming my music video In Another Life ! At 7.00 am ! '
The junior Agalarov 's highly public backing for Trump ahead of the the US election has the hallmarks of his father 's support for Putin in 2012 .
It raises the question of whether Agalarov and his son were ordered by the Kremlin to voice support for his friend , the way he was instructed to build major projects for Putin .
As Emin told The Washington Post seven months before Trump 's election victory : ' I think that 's a very important sentiment , that for the first time in many years , that an American presidential potential candidate wants to be friends with another big empire . '
This , he said , could be ` an amazing breakthrough if he becomes president and actually becomes friends with Putin ... We would avoid 10 wars every year , at least , because these guys really understand that war is not maybe the way to succeed in this . '
Agalarov closeness to both Putin and Trump was at the heart of concerns by Steele that the then-presidential candidate could be compromised .
Steele 's dossier claimed that Agalarov would know about the alleged ` golden shower ' performance and the alleged of sex parties in St Petersburg , all claims Trump strongly denied .
Strangely for a media savvy oligarch , Agalarov has refused to speak on these matters .
As his aide said : ` We never commented on this matter . '
However he did act today to deny a role in seeking to feed ` kompromat ' about Hillary Clinton to the Trump campaign .",Russian President Vladimir Putin is said to have taken a liking for Aras Agalarov because the oligarch was close friends with Donald Trump
5,244f37a23707ae549d2b593179444aaeb9c95578,"It is 26 years since Europe 's most prestigious football competition last visited what was once East Germany .
Back in 1991 , just a year after German reunification , Pep Guardiola lined up in midfield for Barcelona against Hansa Rostock in the European Cup . Over a quarter of a century later , the UEFA Champions League is set to touch down in Leipzig .
On Wednesday night , the biggest show in football will return to a region which once had a proud history in European competition .
The traditionalists wo n't be happy , of course . Wednesday 's fixture sees RB Leipzig take on AS Monaco . It would be difficult to find a pairing more emblematic of modern football . The perennial big-spenders of the Principality against the nouveau riche jewel in Red Bull 's football empire .
` What our opposition have over us is a significant amount of experience , ' said RB Leipzig coach Ralph Hasenhuttl on Tuesday . ` We need to counter that with a carefree attitude , play freely and play to our strengths . '
The freedom with which the team plays has always been RB Leipzig 's great strength .
At every stage of their remarkable , eight-year rise from non-league to Bundesliga runners-up , they have been unburdened . Unburdened by expectation . Unburdened by the familiarity of opponents and bogey-teams . Unburdened by the troubled history of East German football .
It is that freedom which has seen them rapidly move up the divisions , ever undaunted by the step up to the next level .
Now , though , they have arrived at the highest level of all . The Champions League is arguably the biggest test for a club which has risen to every challenge it has set itself since 2009 . As ever , the bosses are making sure the expectations remain sufficiently sober .
` We must n't forget that we have a very young team , ' director of sport Ralf Rangnick told kicker . ` But we should remember that Leicester City managed to get to the quarter-finals last season without any Champions League experience . '
Captain Willy Orban was also keen to paint the team as underdogs this week , saying that he thought they could ` surprise ' Monaco .
Leipzig are certainly an unknown quantity in the Champions League , much as they were in the Bundesliga last season . How they deal with the pressure of playing in three competitions and challenging Europe 's elite remains to be seen .
But they are not Leicester . This is a team with an immense amount of quality in all positions . Future Liverpool star Naby Keita will be out injured on Wednesday evening , but Hasenhuttl can still fall back on the likes of Kevin Kampl and Diego Demme in central midfield .
Up front , meanwhile , they have the brilliance of Timo Werner . The little striker 's blistering form for club and country has reportedly sparked the interest of Real Madrid in recent weeks . If he can rise to the challenge of a first Champions League season , he is a danger to any defence .
The draw has been kind to Leipzig , and progressing from a group with Monaco , Porto and Besiktas would not be the ` miracle ' which Rangnick has said it would be .
On Wednesday night , though , will be the litmus test . In Monaco , Leipzig open their campaign against the group 's toughest opponent . If they can match the French champions , then anything is possible . To do so , they will need to play as freely and fearlessly as they always have done . If there is one thing that RB Leipzig are proven experts at , it is fearlessness on the biggest stage . The Champions League , in all likelihood , is a stage , which they could be occupying for some time yet .
Many in Germany 's Eastern states will not be celebrating Leipzig 's European debut . They would rather that their region 's football had no elite clubs whatsoever than one funded by Red Bull . But an elite club RB most certainly are . This autumn may be the first time the Champions League comes to the former East Germany , but it is bound not to be the last .",RB Leipzig face AS Monaco in the Champions League on Wednesday night
6,0936f771136a2c42b1964bdec9dea77ed08a3ec3,"Tamara Taylor is chomping at the bit to appear at her fourth World Cup -- especially after she was reminded of her place in England 's history .
The world champions were all presented with their unique number before the tournament -- embroidered on a special polo shirt -- detailing where they come in English rugby 's female line of succession .
And the 35-year-old lock -- who is No 128 -- said it struck a chord with her as she prepares for her first appearance of the tournament in Dublin against Italy on Sunday .
` It is huge to know where you come in the line of players that came before you , ' said Taylor , who has 106 caps . ` To think about all those people and all those yet to come , it is a pretty special feeling .
` It does not matter if it is my fourth or my first tournament -- it is always exciting to get my shirt . '
England face the Italians after crushing Spain 56-5 on the opening day , for which Taylor was rested . The last time the sides met , in this year 's Six Nations , England won 29-15 , and Taylor warned of a backlash .
Italy , who are playing in their first World Cup for 15 years , have a shot to nothing having lost their opener 24-12 to the US .
` It will be a really competitive game , ' added Taylor . ` They have absolutely nothing to lose so we are expecting it to be a tough game . '",Tamara Taylor will appear at her fourth World Cup when England take on Italy
7,ccc07dc8f51660232297409a6857eb98c02f00fc,"They could become one of the Premier League 's most fearsome strike forces . Or Jose Mourinho could have just created an almighty clash between two heavyweight forwards .
The re-signing of Zlatan Ibrahimovic on a one-year deal has the potential to put Romelu Lukaku 's nose out of joint .
Come October when the Swede is due back from the knee injury that ended his first season at United -LRB- although not before he scored 28 times -RRB- Mourinho will see if it is a partnership he can forge together , or one that causes needless tension .
In most instances a club signing a 35-year-old veteran on a short-term contract would cause no qualms for their new # 75million striker , one who has already scored four goals in his first three games .
He would be a back-up , the striker would assume , there in case of injury to the main man . Yet Ibrahimovic is no normal 35-year-old and he has not extended his spell at Old Trafford for a better view from the dugout than the season-ticket holders .
This is a man who posted a picture of himself dressed as Jesus locked in an arm-wrestle with a Red Devil on social media upon announcement of the deal . He is not expecting to be a ` Cup Striker ' .
When the news broke on Thursday and Ibrahimovic addressed the prospect of an issue , yet even while downplaying a potential conflict he could resist a minor dig at his rival , after giving up the No 9 shirt to him .
' I am happy he came and I think the team is much stronger this season , ' Ibrahimovic said of his team-mate . ` Signing Lukaku makes us even stronger because he has different qualities from me as a striker and from Rashford as a striker . He is a powerful guy and he will bring some extra quality in the game .
' I mean , Lukaku called me and he said , ` Bro , can I get the No 9 ? ' Ibrahimovic said . ' I said , ` Listen , I 'm not on that level where I will make it difficult for you . I just want you to feel happy and feel welcome . So I give you the No 9 . But I will take the No 10 , that 's the way we do it . ' So I never left . I just upgraded my number . '
It does n't take much to rile strikers , who can be hard on the surface but sensitive souls beneath . Andy Cole and Teddy Sheringham barely shared a word during four years at United together due to a conflict of surprisingly minor conception .
` Some might be surprised our rift had such apparently mundane roots , ' Cole wrote in a column for The Independent in 2010 . ` It was early 1995 , I had recently signed for Manchester United , and it was my England debut , against Uruguay . I was a sub . I came on for Sheringham -LRB- then at Tottenham -RRB- .
' I was so nervous it was frightening . This was the culmination of a lifetime of ambition . You hear the cliché , ` It means everything to play for my country ' . But trust me , it did . ' I walked on to the pitch , 60,000 or so watching . Sheringham is coming off . I expect a brief handshake , a ` Good luck , Coley ' , something . I am ready to shake . He snubs me . He actively snubs me , for no reason I was ever aware of then or since . He walks off .
' I do n't even know the bloke so he ca n't have any issue with me . We 're fellow England players , it is my debut and he snubs me .
' I was embarrassed . I was confused . And there you have it . From that moment on , I knew Sheringham was not for me . '
Maybe it wo n't matter at all for Ibrahimovic and Lukaku . Disdain did not stop Cole and Sheringham scoring a phenomenal amount of goals as partners , winning three Premier League titles , an FA Cup and the Champions League together .",Zlatan Ibrahimovic has sealed his Manchester United return following injury
8,b59e86169bfc81b8d87abcde78f680118cfd3e6e,"Two cousins charged with the brutal deaths of four men in Pennsylvania have had numerous run-ins with the police dating back six years .
Cosmo DiNardo , a 20-year-old drug dealer with a history of schizophrenia , had 30 ` contacts ' with the Bensalem Police Department since he was 14 , department director Frederick Harran told FOX .
A year after he was committed to a psychiatric institution and prohibited by law to own a gun , DiNardo allegedly shot his first victim , Jimi Taro Patrick , 19 , on July 5 .
His cousin Sean Kratz , on the other hand , had three previous arrests for burglary and retail theft dating back to June 2016 . He was also arrested after skipping bail in January .
Kratz had been released on bail again when he allegedly killed Dean Finocchiaro , 19 , Tom Meo , 21 , and Mark Sturgis , 22 , with DiNardo on July 7 .
DiNardo , who confessed to all four murders , told authorities he moved the final two victims ' bodies with a backhoe and placed their corpses in a ` pig roaster ' , which he tried to light on fire before burying the tank with Kratz on his parents ' farm .
DiNardo was charged with four criminal homicide counts , while Kratz was charged with three . They both face multiple counts of conspiracy , robbery and abuse of corpse .
DiNardo was well known to Bensalem police after he racked up 30 run-ins over the course of six years , according to Harran .
Harran would not elaborate on the nature of the ` contacts ' , and his criminal record only shows he was arrested for having a gun in February .
DiNardo , who was involuntarily committed to a psychiatric institution last year , was barred from possessing a gun under Pennsylvania law .
That firearms charge was dismissed at a May 30 hearing because the paperwork was not in the proper format . It was authorized for refiling on June 21 , but DiNardo was n't arrested until Monday .
His father posted bail before he was arrested a second time for stealing Meo 's car . He remains in custody after a judge set bail at $ 5million .
Prosecutors also said DiNardo had been diagnosed with schizophrenia , and someone who knew the 20-year-old told the Philadelphia Inquirer that he had changed in recent months .
The drug dealer had hoped to study biology as an incoming student at Arcadia University in 2015 , but police were notified after he made disturbing comments on campus .
As a result , the school barred him from returning and issued a letter to his parents saying DiNardo could be charged with trespassing if he failed to comply , according to a source who spoke to AP .
Kratz , on the other hand , had been arrested for stealing $ 1,000 in tools , $ 450 in jewelry , and $ 200 in clothing in three separate incidents in 2016 .
He skipped bail and headed to Illinois in January , before he was arrested and released on bail again , according to court records cited by FOX .
Kratz was still on bail when he allegedly killed three men with DiNardo in July 7 , two days after his cousin shot the first victim , Jimi Taro Patrick .
DiNardo , who attended the same Catholic high school for boys as Patrick , offered to sell the 19-year-old a shotgun and four pounds of marijuana for $ 8,000 .
But when DiNardo went to pick Patrick up on July 5 , he only had $ 800 .
DiNardo then shot him with his mother 's gun and buried his body ` far away ' from the other three in a six-foot grave .
Two days later , DiNardo conspired with Kratz to rob Dean Finocchiaro after he arranged to sell the victim a quarter pound of marijuana for $ 700 .
Kratz shot Finocchiaro ; DiNardo fired at his body after he was already dead .
Finocchiaro 's remains were then wrapped in a blue tarp from a corn crib and he was thrown into a metal tank converted into a cooker , which he referred to as the pig roaster .
July 5 : Jimi Taro Patrick , 19 , is seen for the last time . He appears to be the first of the men to go missing .
July 7 : Dean Finocchiaro , 19 , Mark Sturgis , 22 , and Tom Meo , 21 , are all seen for the last time .
July 9 : All four men have been reported missing , and a search warrant is executed at a home in Solebury Township , where investigators find Meo 's car .
July 10 : Officials search a Solebury Township farm owned by Antonio and Sandra DiNardo . Their son , 20-year-old Cosmo DiNardo is taken into custody on firearms charges that appeared to be unrelated to the missing persons case .
July 11 : DiNardo is released on bail .
July 12 : Authorities find human remains of multiple bodies on the farm . The remains of Finocchiaro are identified . DiNardo is arrested for a second time and charged with trying to sell a vehicle belonging to one of the missing men .
Later that night , DiNardo made a deal to sell marijuana to Tom Meo and Mark Sturgis and the three met behind a church before heading to DiNardo 's property together .
Again , the cousins plotted to rob them .
DiNardo shot Meo first before taking aim at Sturgis until he ran out of ammunition .
He then drove a backhoe over Meo , who may have still been alive at the time . Kratz told police his cousin ` basically crushed ' Meo with the digger .
DiNardo used the backhoe to move the two bodies and together , the cousins put the corpses in the pig roaster with Finocchiaro , doused it in gasoline and set it on fire .
The next day , the two dug a 12.5 foot grave with the same backhoe and buried the container with the bodies inside .
DiNardo said he did so because he felt threatened or cheated when he tried to sell them marijuana , a source close to the investigation has said .
He also told police where to find the rest of the bodies as part of a plea deal that would allow him to avoid the death penalty .","Cosmo DiNardo , a 20-year-old drug dealer with a history of schizophrenia , had 30 ` contacts ' with the Bensalem Police Department since he was 14"
9,ccf503f94bff06e5b3028321ead8c227ec1230b2,"Former Democratic National Committee chair Rep. Debbie Wasserman Schultz introduced amendments that would seek to strip Donald Trump son-in-law Jared Kushner of his security clearance .
The former DNC chair and Florida Democrat ran the organization when it got hacked in an intrusion that the intelligence community concluded was orchestrated by the Kremlin . The disclosures that ensued proved embarrassing to Democratic nominee Hillary Clinton , and ultimately led to Wasserman Schultz stepping down from her post .
In the aftermath of the election , it was revealed that the DNC turned down offers of assistance form the FBI and the Homeland Security Department .
` Sometime in 2016 , I became aware of a hack into systems of the Democratic National Committee , ' former Homeland Security Secrtary Jeh Johnson testified in late June .
' I pressed my staff to know whether DHS was sufficiently proactive , and on the scene helping the DNC identify the intruders and patch vulnerabilities . The answer , to the best of my recollection , was not reassuring : the FBI and the DNC had been in contact with each other months before about the intrusion , and the DNC did not feel it needed DHS 's assistance at that time . '
Wasserman Schultz offered a series of amendments , joining Democrats including minority leader Nancy Pelosi who have questioned Kushner 's ongoing security clearance , despite his undisclosed Russia meetings .
One amendment to a spending bill read : `` None of the funds made available in this Act may be used to issue , renew , or maintain a security clearance for any individual in a position in the Executive Office of the President who is under a criminal investigation by a federal law enforcement agency for aiding a foreign government .
` Mr. Kushner did n't only leave out a couple of meetings , he 's had to amend his form three times , with over 100 meetings with foreign nationals , '' Wasserman Schultz said , Business Insider reported . She said some of those individuals ` were with the state of Russia , an enemy state . Specifically designed to aid his father-in-law 's campaign and assist him in being elected president of the United States . '
Rep. John Culberson of Texas called the amendments a ` political stunt . '
Kushner has amended a government disclosure document to belatedly reveal contacts with more than 100 foreigners .
Kushner has been providing ` updates ' to his SF-86 national security form , after it was revealed he did not disclose any foreign contacts on his initial form .
His attorney has said he is providing ` updates ' after discovering the original omission . The New York Times reported Thursday that Kushner supplemented the list three times , adding more than 100 names .
That number jibes with a recent statement by Kushner 's attorney , Jamie Gorelick , in response to revelations about Donald Trump Jr. 's meeting with a Kremlin-linked Russian lawyer , Natalia Veselnitskaya . The statement essentially confirmed that Kushner had met Veselnitskaya during the meeting .
Trump campaign chair Paul Manafort also attended the June 2016 meeting -- the type of contact officials are asked to disclose when applying for a government security clearance .
According to the Gorelick statement : '' -LSB- D -RSB- uring the campaign and transition , he had over 100 calls or meetings with representatives of more than 20 countries , most of which were during -LSB- the presidential -RSB- transition . '
She added : ` Mr. Kushner has submitted additional -LSB- federal disclosure -RSB- updates and included , out of an abundance of caution , this meeting with a Russian person , which he briefly attended at the request of his brother-in-law , Donald Trump Jr. . As Mr. Kushner has consistently stated , he is eager to cooperate and share what he knows . '
Many of Kushner 's foreign contacts were hardly a secret . During the transition , the husband of Ivanka Trump became known as the president 's go-to person for foreign leaders .
` If this were a normal political world , Jared Kushner would n't have a job by the end of today , ' Democratic Sen. Chris Murphy of Connecticut told The Hill .
In photos released during the transition , Kushner was pictured with an array of world leaders , as he was with Japanese Prime Minister Shinzo Abe in an image released by the Japanese foreign ministry .
But his meetings with Russians are of particular interest to investigators who are probing contacts between Trump campaign officials and Russia following the intelligence communities conclusion that Russia interfered in the presidential election .
Kushner is now known to have had three contacts with Russians during the campaign : One with outgoing Russian ambassador to the U.S. Sergey Kislyak , one with Veselnitskaya , and one with Sergei Gorkov , chairman of state-owned Sberbank .
The president defended his son during a Paris press conference for attending the meeting with Veselnitskaya that Kushner attended .
` My son is a wonderful young man . He took a meeting with a Russian lawyer , ' Trump said Thursday . ` It was a meeting that went very , very quickly , very fast . '
Trump said the ` press made a very big deal over something really a lot of people would do , ' then blamed former Attorney General Loretta Lynch for letting the Kremlin-linked woman into the country in the first place .
` So , again , I have a son who 's a great young man , he 's a fine person . Took a meeting with a lawyer from Russia , it lasted for a very short period and nothing came of the meeting . And I think it 's a meeting most people in politics probably would have taken ' the president continued .
The meeting occurred after music publicist Robert Goldstone contacted Trump Jr with an offer of dirt on rival Hillary Clinton and a claim that the Russian government supported his campaign .",Trump son-in-law Jared Kushner has revised a disclosure form he completed in connection with joining the White House
10,194cdfcb73a1d9c5b4a17763c4df87d8cdbe1c45,"A disgusted easyJet passenger has complained after having to sit next to a man and woman while they had sex .
Gary Power posted his gripe to the airline 's Facebook page yesterday after boarding his flight to Alicante from Manchester Airport .
The tourist said he boarded the EZY1917 service at 7.10 am on Monday and was revolted when the man and women adjacent to him began their romp .
He said : ` Well done @easyjet - got on my flight from Manchester to Alicante and what happened during the flight ?
` The man and woman sat next to me proper going for it ... and not even being discreet !
` My particular favourites from the whole experience was that the 2 elderly women sat opposite , whilst distracting -LRB- I presume their about 5 year-old granddaughter -RRB- so she did n't see it , could n't get enough of it - eyes popping out of their head with disbelief but still having a good nosey .
` Oh yeah , and the fella sat in front of them who even had the cheek of tell me to move my head so he could get a better look . My eyes have never been so glued to m my iPad so much ! 1-0 Brits abroad . '

It comes amid a spate of lewd and crude behaviour on board flights from Britain to Spain , which has airline bosses worried .
In June , Tracey Bolton , 39 , and Shaun Edmondson , 31 , were accused of having sex on board a Ryanair flight to Ibiza .
Ms Bolton has kept her head down since the video went viral on social media .
The two people involved in the latest mid-flight romp are yet to be identified .
An easyJet spokesman said : ` As this alleged activity was not reported to the crew on the flight , they were not able to intervene .
` We have contacted the passenger who posted the details on social media and have apologised for his experience . '",Passenger complains to airline after having to sit next to a couple having sex
